n,m,k,val,t_sol,t
100,20,10,104949.345,1263.165265,1800.01536
100,20,10,107155.234,1742.071897,1800.047394
100,20,10,110465.728,1234.122042,1800.021266
100,20,10,112023.107,1112.694083,1800.034937
100,20,10,112865.994,1655.668618,1800.006466
100,20,10,112930.33,1071.372221,1800.021272
100,20,10,113883.337,1053.08495,1800.00421
100,20,10,117346.422,1284.436262,1800.063981
100,20,10,117740.453,1700.568061,1800.005537
100,2,20,3324.128,1521.65359,1800.032204
100,2,20,3403.219,1574.334148,1800.049419
100,2,20,3742.981,1513.74043,1800.100307
100,2,20,3813.954,1631.717227,1800.001741
100,2,20,4005.086,1045.081156,1800.044304
100,2,20,4111.925,1017.377752,1800.010697
100,2,20,4160.793,1613.925277,1800.091029
100,2,20,4293.948,1648.102272,1800.08252
100,2,20,4417.182,1787.971564,1800.041613
100,2,20,4767.387,1284.628498,1800.053208
100,5,20,33748.798,1704.960726,1800.067885
100,5,20,34647.838,1135.617828,1800.099682
100,5,20,35329.889,1412.725099,1800.15798
100,5,20,35363.077,935.009338,1800.060846
100,5,20,35808.345,1059.359608,1800.108116
100,5,20,37038.738,927.80542,1800.019071
100,5,20,37130.963,978.109711,1800.119802
100,5,20,37184.544,1028.758561,1800.204358
100,5,20,37365.165,1020.231908,1800.043919
100,5,20,38233.84,1505.293348,1800.071529
100,10,20,71724.764,1734.695059,1800.013592
100,10,20,75254.547,1594.888723,1800.060916
100,10,20,75608.682,1117.516523,1800.007377
100,10,20,76306.702,1084.675047,1800.056172
100,10,20,76972.896,1692.071867,1800.11239
100,10,20,77068.828,1474.023063,1800.091328
100,10,20,78273.285,1171.487917,1800.015905
100,10,20,78758.518,1330.368766,1800.051825
100,10,20,78827.408,1780.682236,1800.100758
100,10,20,79582.609,1530.894266,1800.093302
100,20,20,120178.722,1580.710983,1800.364742
100,20,20,120503.982,1471.599024,1800.008186
100,20,20,121298.954,1591.955055,1800.067034
100,20,20,121751.613,1499.490794,1800.148865
100,20,20,122025.311,1722.486208,1800.113833
100,20,20,122819.928,1693.150195,1800.241741
100,20,20,124350.554,1607.138631,1800.369523
100,20,20,124522.492,1648.862511,1800.191984
100,20,20,124526.01,1648.977825,1800.228407
100,20,20,125545.323,1719.172018,1800.018471
500,2,5,48.675,869.235003,1800.085662
